exhid,exhname,url,description,product_categories,booths,websiteValue,instagramValue,facebookValue,twitterValue,linkedInValue,phoneValue,faxValue,hasAddressData,hasWebsiteData,hasTwitter,hasLinkedIn,hasFacebook,hasInstagram,hasEmail,hasPhone,hasFax
7295,"Guangzhou Beslepark Recreation Equipment Co.,Ltd.",https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=7295,,,North/South Building - Level 1 — 1733 — Games & Arcade,,,,,,,,false,false,false,false,false,false,false,false,false
7675,Zhongshan Cheer Entertainment Technology Co. Ltd,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=7675,,,North/South Building - Level 1 — 1735 — Games & Arcade,,,,,,,,false,false,false,false,false,false,false,false,false
8094,Aqua Revival,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=8094,"AquaRevival is proud to offer the most advanced regenerative media filtration technology, no other system is engineered to deliver your facility this quality of filtration. Visit www.aqua-revival.com to see how your operation can obtain the most efficient filtration, while eliminating costly loss of heat, chemicals, water, due to backwashing.",Water Related Equipment & Supplies > Filtrations & Maintenance | Water Related Equipment & Supplies > Swimming Pool/Beach Resort,North/South Building - Level 1 — 1742 — Waterpark,,,,,,,,false,false,false,false,false,false,false,false,false
10389,ACE MANUFACTORY LIMITED,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10389,"We are a leading manufacturer and exporter of plush toys, inflatable plush, redemption, and amusement toys. With a strong production base and a vast sourcing network, we serve the complete needs of large-scale entertainment and retail projects. Trusted by FECs, arcades, theme parks, and major toy chains, we work with top chains across the Middle East and USA, delivering quality, scale, and reliability for high-volume operations.",Games & Devices > Midway & Skill | Games & Devices > Redemption Prizes | Games & Devices > Remote & Radio Controlled,North/South Building - Level 1 — 1744 — Waterpark,,,,,,,,false,false,false,false,false,false,false,false,false
4060,Shanghai QiQu Fun Co. Ltd.,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=4060,,,North/South Building - Level 1 — 1749 — Waterpark,,,,,,,,false,false,false,false,false,false,false,false,false
10579,Topline Aqua,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10579,,,North/South Building - Level 1 — 1751 — Waterpark,,,,,,,,false,false,false,false,false,false,false,false,false
291,Game Time International (GTI),https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=291,"GTI brand was born in 1993. Initiated in 2009,the premier international B2B event in the game & amusement industry, has a remarkable history of attracting more than 600 exhibitors and 141,251 visits. For more than 30 years, GTI has always been committed to promoting the development of the amusement industry and serving the industry with sincerity.",,North/South Building - Level 1 — 1757 — Show Production & Design,,,https://www.facebook.com/profile.php?id=100063650060561,,,,,false,false,false,false,true,false,false,false,false
2861,Fiberglass Coatings,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=2861,"Fiberglass Coatings makes pro-grade resins for builders and artists. In addition to our resins, putties, fillers and adhesives for composite-based needs, Stone Bond sculpts strong, lasting scenery; TerraLock™ keeps mulch and gravel locked in place. Built to perform. Trusted to last.","Construction > Surfacing Materials | Displays & Sets > Amusement Buildings/Fronts | Facility & Grounds > Landscaping & Fountains | Water Related Equipment & Supplies > Wet Rides (Slides, Tubes)",North/South Building - Level 1 — 1758 — Show Production & Design,,,,,,,,false,false,false,false,false,false,false,false,false
10609,"Guangzhou Youpin Youzan Cultural Development Co., Ltd.",https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10609,,,North/South Building - Level 1 — 1764 — Show Production & Design,,,,,,,,false,false,false,false,false,false,false,false,false
5426,Frontgrid / ParadropVR,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=5426,"INNOVATING ICONIC EXPERIENCES - through the power of motion-based-engineering, immersive content and creative design. We create custom-attractions, museum exhibits and arcade games from design through to build and installation. We are the creators of ParadropVR, the world's first VR flying experience under canopy. A platform to explore any environment you can imagine from the sky.  Subscription games or custom content. Single or multiplayer. Unattended and outdoor operation possibilities.",Games & Devices > Arcade & Video | Hi-Tech Equipment & Services > Simulation | Hi-Tech Equipment & Services > Virtual Reality | Rides (Dry) > Major,North/South Building - Level 1 — 1765 — Show Production & Design,,https://www.instagram.com/frontgrid/?hl=en-gb,https://www.facebook.com/frontgrid/,https://x.com/frontgrid,https://www.linkedin.com/company/21713027/admin,,,false,false,true,true,true,true,false,false,false
