exhid,exhname,url,description,product_categories,booths,websiteValue,instagramValue,facebookValue,twitterValue,linkedInValue,phoneValue,faxValue,hasAddressData,hasWebsiteData,hasTwitter,hasLinkedIn,hasFacebook,hasInstagram,hasEmail,hasPhone,hasFax
10749,Boraku,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10749,"Boraku™ is an exciting new two-hand paddle game designed for all ages and abilities. Played on a custom table with unique paddles and a durable nylon ball, Boraku™ combines fun, competition, and inclusivity—leveling the playing field for youth groups, schools, seniors, veterans, and even players in wheelchairs. Easy to learn yet endlessly engaging, Boraku™ is the next evolution in social and recreational play.",,Outdoor Exhibits — 7360 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
10665,Mileo Amusement inc,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10665,,Displays & Sets > Signs | Theatrical Equipment & Supplies > Miscellaneous | Themed Retail Stores > Retail Displays & Fixtures,Outdoor Exhibits — 7420 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
10657,"GUANGZHOU NEW YINGJIA TECHNOLOGY CO.,LTD",https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10657,,,Outdoor Exhibits — 7430 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
10653,"ANKA Inflatables Co., Ltd.",https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10653,,Construction > Amusement Facilities | Construction > Family Entertainment | Participatory Play Equipment > Children's Play Elements | Participatory Play Equipment > Inflatables,Outdoor Exhibits — 7440 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
10738,"Sportsbeams Lighting, Inc.",https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10738,"Sportsbeams, based in Austin, TX, manufactures next-gen high-powered LED lights with multi-patented, Emmy Award–winning RGBAW color technology.   As the only single glass optic entertainment LED fixtures in the industry, our color lights illuminate thousands of venues worldwide, setting new standards in vibrance, performance, and clarity. With decades of design expertise, we push boundaries to deliver lighting that is truly unique and far beyond the status quo.",Construction > Amusement Facilities | Consultants > Architecture and Design | Consultants > Engineering | Theatrical Equipment & Supplies > Lighting,Outdoor Exhibits — 7450 — Outdoor Lot,,https://www.instagram.com/sportsbeams/,https://www.facebook.com/sportsbeamslightinginc,https://x.com/SportsbeamsTX,https://www.linkedin.com/company/sportsbeams/,,,false,false,true,true,true,true,false,false,false
10662,On-Site Drapery Cleaners,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10662,,Clothing > Costumes | Clothing > Miscellaneous | Displays & Sets > Scenery & Sets | Facility & Grounds > Canvas & Tents/Awnings & Canopies,Outdoor Exhibits — 7530 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
10654,SRM Entertainment / Goldenlink,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10654,,"Food & Beverages > Foodservice Supplies | Gifts, Novelties, Souvenirs > Miscellaneous",Outdoor Exhibits — 7540 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
1,American Locker | Droplocker,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=1,,Admission/Financial Equipment > Systems & Devices | Security Equipment > Lockers,Outdoor Exhibits — 7550 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
10713,Patch Retention,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10713,,Computer Systems/Software > Software | Computer Systems/Software > Web-Based Services,Outdoor Exhibits — 7630 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
8663,Conestoga Wagon Company,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=8663,,Construction > Amusement Facilities | Construction > Portable Buildings | Facility & Grounds > Canvas & Tents/Awnings & Canopies,Outdoor Exhibits — 7640 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
10698,LaserMaxx LLC,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10698,"LaserMaxx features state-of-the-art equipment and the ultimate laser tag experience, played in a HUGE multi-level, fog-filled maze. Fun for ages 5 to 85! Laser Tag birthday parties are a blast! LaserMaxx is fun for families, corporate events, office parties, team building, sports teams, youth groups or a fun night out.",Hi-Tech Equipment & Services > Simulation | Hi-Tech Equipment & Services > Virtual Reality | Participatory Play Equipment > Interactive Sports/Zip Lines | Participatory Play Equipment > Laser Tag,Outdoor Exhibits — 7730 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
1217,Leisure Activities,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=1217,"Inflatable Games Manufacturer, Amusement & Theme Park","Construction > Family Entertainment | Gifts, Novelties, Souvenirs > Party Supplies | Participatory Play Equipment > Inflatables",North/South Building - Level 1 — 5653 — Inflatables | Outdoor Exhibits — 8020 — Outdoor Lot,,,https://www.facebook.com/LeisureActivties,,,,,false,false,false,false,true,false,false,false,false
8077,Titan Inflatables LLC,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=8077,,,Outdoor Exhibits — 8030 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
222,Spectrum Sports Intl,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=222,"For over 20 years we have been manufacturing adrenaline and adventure attractions for the leisure industry. We offer rock climbing walls, bungee trampolines, zip lines, and the new Battle Bar. Our award-winning products can be found in FECs, resorts, and amusement parks worldwide. Rental and event professionals stock their inventories with our products to set them apart from the competition and grow their business. Our products are available worldwide though our network of dealers.",Participatory Play Equipment > Children's Play Elements | Participatory Play Equipment > Climbing Walls | Participatory Play Equipment > Interactive Sports/Zip Lines | Rides (Dry) > Kiddie,Outdoor Exhibits — 8040 — Outdoor Lot,,https://www.instagram.com/spectrumsportsintl/,https://www.facebook.com/SpectrumSportsIntl/,,https://www.linkedin.com/company/spectrum-sports-intl/,,,false,false,false,true,true,true,false,false,false
8072,BounceWave Inflatable Sales LLC,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=8072,"BounceWave Inflatable Sales is a leading supplier of commercial inflatables in the United States, specializing in inflatable products for sale, including bounce houses, inflatable water slides, inflatable games, and obstacle courses. The company is recognized as one of the top inflatable manufacturers and suppliers, offering American-crafted party inflatables and commercial-grade inflatables for sale",Participatory Play Equipment > Inflatables,North/South Building - Level 1 — 6086 — Inflatables | Outdoor Exhibits — 8050 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
8993,"Big and Bright Inflatables, Bigfoot Dolly, and Big Bad Wolf Blowers",https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=8993,,"Participatory Play Equipment > Inflatables | Water Related Equipment & Supplies > Wet Rides (Slides, Tubes)",North/South Building - Level 1 — 5150 — Inflatables | North/South Building - Level 1 — 5491 — Inflatables | North/South Building - Level 1 — 5791 — Inflatables | Outdoor Exhibits — 8120 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
682,Moonwalk USA,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=682,"One stop for commercial inflatable bounce houses, party tents, tables, and chairs",Facility & Grounds > Canvas & Tents/Awnings & Canopies | Participatory Play Equipment > Inflatables | Participatory Play Equipment > Interactive Sports/Zip Lines,North/South Building - Level 1 — 5186 — Inflatables | Outdoor Exhibits — 8130 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
837,EZ Inflatables Inc.,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=837,"EZ Inflatables is the leading designer and manufacturer of a wide range of inflatable interactive games that bring joy to children's parties, corporate events, and community gatherings. We help in transforming celebrations, where fun takes shape, and every gathering becomes a cherished memory. With a focus on innovation, quality, safety, and customer satisfaction, we aspire to set the standard for the inflatable industry, inspiring smiles and togetherness wherever our inflatables go",Construction > Family Entertainment | Participatory Play Equipment > Children's Play Elements | Participatory Play Equipment > Inflatables,North/South Building - Level 1 — 5469 — Inflatables | Outdoor Exhibits — 8140 — Outdoor Lot,,https://www.instagram.com/ez_inflatables/,https://www.facebook.com/ezinflatablesinc,,,,,false,false,false,false,true,true,false,false,false
322,Ninja Jump,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=322,,Participatory Play Equipment > Inflatables,North/South Building - Level 1 — 5473 — Inflatables | Outdoor Exhibits — 8140A — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
2837,Eaglewood Manufacturing,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=2837,,,Outdoor Exhibits — 8150 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
10658,Rainbow Inflatables Ltd.,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10658,"Rainbow Inflatables, founded in 2011, in Guangzhou, China, is an established manufacturer with over 14 years of expertise in the inflatables industry. We specialize in designing innovative inflatable products and delivering mid-to-high-end manufacturing solutions. Our core product portfolio encompasses:   -Advertising Inflatable products, inflatable mascots and inflatable replicas. -Inflatable water games and pools   - inflatable theme park  - Bouncy castles and slides  - Inflatable sports games","Displays & Sets > Signs | Participatory Play Equipment > Inflatables | Water Related Equipment & Supplies > Swimming Pool/Beach Resort | Water Related Equipment & Supplies > Wet Rides (Slides, Tubes)",Outdoor Exhibits — 8210 — Outdoor Lot,,https://www.instagram.com/rainbowinflatablesfactory/,https://www.facebook.com/profile.php?id=100091516433332,,,,,false,false,false,false,true,true,false,false,false
10652,SOURCEFLOW INC,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10652,,,Outdoor Exhibits — 8220 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
